,mod,org
0,0,0
1,0,0
2,0,70
3,0,215
4,0,1033
5,0,291
6,0,10
7,0,49449
8,0,20508
9,0,28123
10,0,16742
11,0,16763
12,0,11691
13,0,10428
14,0,10540
15,1,12567
16,294,10213
17,1493,10333
18,426,7660
19,47550,8182
20,27171,8979
21,22142,9276
22,16672,9973
23,16127,10176
24,15214,10321
25,7584,10460
26,8512,10400
27,10694,13714
28,4962,9253
29,8410,7595
30,6598,9001
31,4066,10374
32,8097,8682
33,0,8652
34,8196,9301
35,1480,10938
36,7364,10262
37,4356,8542
38,5756,9280
39,5367,11986
40,1667,8000
41,6242,11137
42,2342,9124
43,3980,7388
44,4716,8444
45,4496,9189
46,1243,9379
47,1734,7692
48,6607,12210
49,2271,14910
50,2685,7674
51,3536,7819
52,0,11919
53,2949,9372
54,5025,13228
55,860,10049
56,2029,13703
57,4076,10361
58,1771,12475
59,2260,46386
60,333,28442
61,2305,49968
62,2174,49969
63,4093,49968
64,1218,49968
65,3143,49631
66,1344,25406
67,0,3287
68,3938,0
69,1387,49436
70,0,49343
71,1608,30448
72,1051,49316
73,0,49503
74,1421,49503
75,4222,49315
76,2395,49316
77,943,49284
78,0,49287
79,2108,49286
80,692,49287
81,49,49244
82,2132,49311
83,1052,49311
84,0,49265
85,875,49266
86,2695,49265
87,611,49266
88,2478,46317
89,1482,4732
90,0,49185
91,1651,49184
92,1040,423
93,136,49221
94,0,49181
95,1883,49180
96,1254,49160
97,158,49163
98,0,49162
99,1185,49163
100,397,49162
101,187,49228
102,0,49171
103,2392,49149
104,1573,49149
105,0,49149
106,0,49149
107,2106,49148
108,757,49148
109,0,32795
110,1421,49153
111,0,49152
112,0,49108
113,1518,2006
114,1011,49108
115,0,49089
116,0,49092
117,0,49091
118,0,49092
119,0,49091
120,0,49150
121,0,49150
122,0,49105
123,0,49098
124,0,49103
125,0,49102
126,0,49103
127,0,49103
128,0,49103
129,0,49227
130,0,1298
131,0,49075
132,0,49078
133,0,49061
134,0,33007
135,0,49061
136,0,49062
137,0,49061
138,0,49125
139,0,49125
140,0,49079
141,0,49080
142,0,49080
143,0,49080
144,0,49080
145,0,49080
146,0,49081
147,0,49080
148,0,49134
149,0,49134
150,0,49083
151,0,2388
152,0,49062
153,0,49065
154,0,49064
155,128,34331
156,132,49064
157,48633,49124
158,48540,49124
159,48508,49078
160,50005,49080
161,49864,49080
162,49927,49079
163,49919,49080
164,49943,49079
165,49526,49080
166,49844,49131
167,49837,49131
168,49836,49085
169,49804,49086
170,49750,49063
171,49750,49064
172,49720,48954
173,49721,48624
174,49720,48623
175,49780,3378
176,49780,48724
177,49734,48638
178,20670,48639
179,1,48638
180,49734,48639
181,49729,48638
182,49729,48639
183,49728,48639
184,49782,48632
185,49782,48685
186,49698,48685
187,49716,48637
188,49699,48609
189,49686,48612
190,49697,48611
191,49692,41030
192,49422,48561
193,49600,48469
194,49874,48607
195,49548,48604
196,49655,3745
197,49654,48561
198,49712,48561
199,25862,48561
200,0,48561
201,49720,48561
202,49718,48562
203,49758,48561
204,49734,48611
205,49710,48562
206,49710,48563
207,49693,48546
208,49696,48549
209,49695,48430
210,49696,48431
211,49695,48430
212,49756,1616
213,49756,48396
214,49708,48248
215,49709,48322
216,49708,48321
217,49709,42354
218,49712,48321
219,49712,48322
220,25434,48322
221,1,48322
222,49696,48363
223,49551,48363
224,49656,48322
225,49655,48302
226,49701,48305
227,49704,48304
228,49710,48302
229,49711,48301
230,49710,48302
231,49845,48301
232,49845,48364
233,49725,6502
234,49726,48288
235,49726,48238
236,49726,48280
237,49726,48279
238,49725,1828
239,49726,48280
240,49725,48279
241,25438,48332
242,0,48329
243,48617,48280
244,48424,48259
245,48541,48264
246,48537,48263
247,48540,48264
248,48539,48263
249,48507,48264
250,48583,48329
251,48415,48329
252,48486,48283
253,48486,48284
254,48543,42868
255,48542,48284
256,48543,48285
257,48542,48284
258,48543,48093
259,48698,8469
260,48607,48255
261,48544,48092
262,46717,48069
263,1,48072
264,48515,48071
265,48514,48072
266,48515,48071
267,48514,48072
268,48515,48071
269,48573,48142
270,48573,48142
271,48533,48092
272,48532,48091
273,48533,48092
274,48532,48091
275,48533,2807
276,48533,48092
277,48536,48092
278,48564,48138
279,48415,48138
280,48477,48091
281,48478,48069
282,48457,48072
283,47112,48296
284,0,48296
285,48517,48297
286,48516,48296
287,48517,48297
288,48576,48364
289,48530,48313
290,48531,48314
291,48530,48313
292,48531,48314
293,48531,48314
294,48531,48314
295,48530,48314
296,48132,858
297,48177,48370
298,48177,48370
299,48135,48300
300,48135,48303
301,48116,48302
302,48113,48303
303,48116,48170
304,48117,48259
305,1858,48259
306,0,48323
307,48135,48323
308,48094,48274
309,48095,48274
310,48094,48268
311,48095,48271
312,48095,48272
313,48095,48271
314,48094,48272
315,48095,48321
316,48145,48309
317,48145,1547
318,48095,48250
319,48037,48253
320,48071,48252
321,48070,48253
322,48071,48252
323,48070,48253
324,48071,48310
325,48070,48312
326,48129,48266
327,6721,48267
328,0,48266
329,48083,48267
330,48084,48267
331,48084,48267
332,48084,48267
333,48084,48267
334,48083,48316
335,48129,48316
336,48129,48271
337,48089,48247
338,48068,1417
339,48071,48315
340,48070,48316
341,48071,48315
342,48070,48316
343,48071,48377
344,48143,48377
345,48144,48331
346,48090,48332
347,48091,48332
348,48084,48332
349,6765,48331
350,0,48331
351,48087,48342
352,48088,48388
353,48087,48388
354,48134,48342
355,48088,48323
356,48089,48326
357,48067,48326
358,48070,48327
359,48069,112
360,48070,48283
361,48069,48283
362,47914,48352
363,47978,48352
364,47978,48299
365,47933,48298
366,47934,48299
367,47934,48298
368,47934,48299
369,47933,48298
370,47933,48293
371,8182,48330
372,0,48338
373,48101,48273
374,47934,48277
375,47935,48276
376,48002,48277
377,48007,48276
378,48006,48277
379,48007,48276
380,48006,2235
381,48007,48450
382,48067,48295
383,48016,48296
384,48004,48296
385,48002,48223
386,47803,48272
387,47895,47869
388,47923,48135
389,47922,48175
390,47920,48175
391,47921,48134
392,47967,48109
393,8875,48114
394,0,48107
395,47907,48108
396,47906,48107
397,47757,48108
398,47857,48105
399,47609,48169
400,47773,48169
401,47909,2745
402,47911,48122
403,47784,48123
404,47786,48123
405,47786,48123
406,47785,48117
407,47786,48120
408,47785,48162
409,47786,48162
410,47826,48101
411,47826,48104
412,47785,48100
413,47768,48103
414,47771,48102
415,12220,48103
416,0,48102
417,48033,48163
418,47958,48163
419,47959,48117
420,48020,48118
421,48020,48117
422,47975,3207
423,47974,48118
424,47975,48117
425,47974,48118
426,47975,48347
427,47974,48393
428,47975,48328
429,48024,48331
430,48024,48330
431,47969,48331
432,47930,48330
433,47933,48331
434,47932,48331
435,47933,48331
436,47932,48509
437,8756,48509
438,0,48347
439,47856,48358
440,47948,48358
441,47414,48359
442,47736,46991
