,mod,org
0,0,0
1,0,0
2,0,13
3,0,156
4,0,257
5,0,1220
6,0,520
7,0,237
8,0,17365
9,0,1630
10,0,10268
11,0,6988
12,0,9720
13,0,10628
14,0,10560
15,379,7540
16,255,8547
17,878,7524
18,1983,10140
19,1092,10596
20,8042,10608
21,8032,10596
22,9219,10594
23,6328,10596
24,2818,10592
25,8092,10611
26,6951,10579
27,2893,5710
28,7668,8480
29,3764,10580
30,4113,9963
31,6739,8384
32,1999,9927
33,7397,10595
34,2203,10592
35,6010,8955
36,2715,8806
37,4924,10595
38,3369,10576
39,2480,7168
40,6588,10494
41,2190,7280
42,2743,8367
43,3766,10595
44,2544,10612
45,1780,10580
46,2647,10609
47,5294,14138
48,0,10580
49,3219,5719
50,2535,11976
51,1444,13908
52,4333,10805
53,2917,14062
54,0,10694
55,3757,14124
56,3449,10611
57,1069,14142
58,1703,12870
59,2264,3569
60,1527,0
61,2663,8
62,3044,0
63,583,0
64,2282,1
65,786,0
66,1136,0
67,4220,23
68,98,77
69,1477,37
70,1750,11
71,2309,0
72,0,30
73,2328,0
74,3287,0
75,0,0
76,633,0
77,1275,0
78,2731,0
79,1156,0
80,1080,0
81,620,0
82,1116,14
83,556,0
84,1394,0
85,2643,0
86,788,0
87,2044,0
88,876,0
89,0,41
90,2388,25
91,1452,0
92,60,0
93,844,4
94,638,0
95,646,0
96,0,0
97,1309,0
98,2717,0
99,1584,0
100,595,0
101,0,0
102,1752,0
103,452,19
104,33,0
105,1779,0
106,705,0
107,0,0
108,976,0
109,1792,0
110,403,39
111,1572,1
112,721,1
113,279,0
114,0,1
115,1441,0
116,656,0
117,71,0
118,3190,0
119,6703,0
120,6822,0
121,3773,0
122,5264,0
123,5720,0
124,6598,2
125,7067,0
126,4979,0
127,5641,0
128,7081,0
129,7064,0
130,6351,0
131,4450,26
132,6872,1
133,5983,0
134,5041,0
135,6907,2
136,6473,0
137,4913,0
138,5669,0
139,5339,0
140,5618,0
141,6774,0
142,7063,0
143,11846,0
144,12903,0
145,12365,0
146,12402,0
147,13665,0
148,11050,0
149,12284,0
150,12352,0
151,13370,0
152,11374,0
153,10838,0
154,9754,0
155,1567,0
156,0,0
157,0,0
158,0,0
159,0,0
160,1,0
161,1,0
162,35,0
163,14,0
164,12,0
165,0,0
166,53,0
167,1,0
168,1,0
169,0,0
170,4,0
171,0,0
172,1,328
173,0,331
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,1,0
181,5,0
182,0,0
183,0,0
184,0,0
185,0,1
186,0,0
187,10,0
188,1,0
189,1,0
190,6,0
191,0,0
192,2,8
193,91,14
194,2,40
195,0,0
196,52,1
197,0,0
198,3,0
199,0,0
200,1,0
201,0,0
202,2,0
203,0,0
204,0,0
205,8,0
206,0,0
207,0,0
208,0,0
209,0,111
210,0,0
211,0,0
212,0,0
213,0,6
214,0,29
215,0,68
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,90,0
223,4,0
224,51,0
225,0,0
226,4,0
227,0,0
228,1,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,1
235,0,10
236,0,23
237,0,0
238,0,0
239,0,0
240,0,0
241,1035,0
242,0,0
243,0,1
244,0,0
245,57,1
246,0,0
247,1,0
248,0,0
249,0,0
250,11,0
251,0,0
252,56,0
253,0,0
254,3,0
255,0,0
256,0,0
257,0,0
258,0,186
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,14,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,4,0
280,52,0
281,0,0
282,0,0
283,4,114
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,324,89
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,2,0
304,0,44
305,0,0
306,0,0
307,35,0
308,0,0
309,0,0
310,0,0
311,0,2
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,4
318,0,0
319,0,0
320,14,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,1
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,90
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,2,0
350,0,0
351,0,88
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,44
361,0,0
362,219,0
363,1,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,2
372,0,4
373,0,0
374,0,0
375,0,0
376,108,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,1
382,0,0
383,0,0
384,17,0
385,0,0
386,1,24
387,67,0
388,14,134
389,0,0
390,0,0
391,1,0
392,0,0
393,0,1
394,0,0
395,0,2
396,0,0
397,0,0
398,49,0
399,0,1
400,83,0
401,0,0
402,1,1
403,0,0
404,1,0
405,0,0
406,0,0
407,0,2
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,1
414,0,0
415,0,0
416,0,0
417,13,0
418,77,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,88
427,0,0
428,0,0
429,0,0
430,0,0
431,76,0
432,19,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,88
440,46,0
441,0,0
442,163,0
443,0,0
444,0,0
445,0,0
446,0,44
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,4,0
454,0,0
455,3,0
456,0,0
457,1,2
458,0,0
459,0,4
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,1
467,0,0
468,0,0
469,0,0
470,95,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,1,0
479,0,13
480,0,77
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,88,0
492,44,0
493,0,15
494,3,0
495,0,0
496,161,0
497,0,0
498,0,0
499,0,0
500,0,44
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,88,2
510,0,0
511,0,0
512,0,0
513,0,4
514,0,0
515,1,0
516,0,0
517,1,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,1
524,0,20
525,0,0
526,0,137
527,0,0
528,0,0
529,0,0
530,89,0
531,44,0
532,0,0
533,3,1
534,1,4
535,160,0
536,0,0
537,0,2
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,1
544,0,2
