,mod,org
0,1,5
1,1,490
2,4,957117
3,4,960388
4,5,960232
5,7,959979
6,7,958758
7,7,269381
8,7,37873
9,7,29753
10,7,27010
11,7,23751
12,8,21411
13,47,21056
14,732,21100
15,947929,20107
16,962041,18760
17,961786,17857
18,960907,17800
19,64313,18778
20,39320,19587
21,34699,19872
22,31002,20567
23,26835,20772
24,22615,20913
25,20051,21071
26,20264,493280
27,18474,19424
28,16915,17733
29,16354,18175
30,15985,18964
31,14776,18758
32,15279,18609
33,11983,19247
34,16806,19893
35,10863,19893
36,15071,19068
37,13599,19137
38,15031,19856
39,14050,19154
40,12420,18494
41,13406,18417
42,10734,17491
43,12115,17983
44,11605,19056
45,11150,19769
46,8438,19988
47,12291,21830
48,11284,22790
49,11943,194569
50,9909,19650
51,10753,21727
52,9167,22724
53,11397,23435
54,9926,23922
55,10265,24175
56,10706,24314
57,10127,24509
58,8551,25345
59,9840,49955
60,6591,965066
61,10546,49976
62,9803,49969
63,9779,49968
64,8145,49985
65,9243,49631
66,6374,969783
67,10152,969783
68,11031,969760
69,7752,49772
70,6808,49363
71,9566,969643
72,6471,49347
73,8129,49503
74,11056,49504
75,9099,49315
76,9275,49317
77,6638,49284
78,8538,395860
79,7371,49286
80,7277,49287
81,7366,505161
82,8342,49325
83,6197,49311
84,7764,49265
85,8643,52553
86,9185,49265
87,6500,49266
88,8369,969599
89,8249,969599
90,7827,197194
91,9449,49277
92,6770,969533
93,5780,49225
94,7493,49181
95,9038,49181
96,5980,49160
97,6425,49163
98,10557,49162
99,8261,445141
100,6986,49162
101,6288,49228
102,8011,447974
103,8456,49168
104,8125,49149
105,7607,49149
106,6963,49149
107,7586,49148
108,7884,49148
109,7389,969510
110,7056,590755
111,6667,573632
112,8379,49191
113,6891,969469
114,6967,49109
115,6531,49089
116,7034,49092
117,6370,49091
118,585618,49092
119,6926,49091
120,7034,475161
121,3994,49150
122,5484,49105
123,5962,493228
124,6840,49106
125,7412,49102
126,5221,49103
127,5907,49103
128,7406,49103
129,7331,49227
130,6669,969466
131,4798,591455
132,7155,541661
133,6319,49131
134,5679,969439
135,7209,49063
136,6816,49062
137,5299,49061
138,5991,49125
139,5700,49125
140,6022,49079
141,7127,443293
142,7456,81953
143,12272,82084
144,13300,458041
145,12775,49081
146,12875,49081
147,14099,49080
148,11486,49134
149,12796,49134
150,12834,49083
151,13848,969440
152,11949,622065
153,11403,575412
154,10335,49129
155,967539,969440
156,965972,49064
157,49022,49124
158,48631,49124
159,48600,49078
160,50067,49080
161,50163,444206
162,50223,49079
163,50177,49080
164,50187,476170
165,49739,49081
166,50067,49131
167,49908,49131
168,49907,49087
169,49874,49086
170,147180,49063
171,147168,969440
172,49831,574557
173,49809,588835
174,49807,48682
175,49851,968988
176,49851,48724
177,49805,48638
178,970286,48639
179,970286,48638
180,70476,48639
181,49805,493241
182,49800,48639
183,49799,48639
184,49855,437879
185,49855,48688
186,49826,48685
187,49932,48637
188,49904,48611
189,49889,48612
190,49948,48611
191,49939,968987
192,49654,52002
193,49830,535163
194,50049,628197
195,49707,48654
196,49830,968925
197,49775,48561
198,49840,48561
199,970261,48561
200,970270,48561
201,75691,48738
202,49830,527438
203,49851,48561
204,49827,48611
205,49803,440514
206,49795,48565
207,49779,48546
208,49782,48549
209,49781,48910
210,49783,48431
211,49781,48430
212,49844,968814
213,49860,48914
214,49813,537123
215,49902,583991
216,49900,48369
217,49902,968711
218,49903,48321
219,49959,48322
220,970263,48322
221,970263,48323
222,75378,48363
223,49740,486072
224,49825,48322
225,49771,48302
226,49812,477288
227,49806,48306
228,49815,48302
229,49814,48301
230,49814,48304
231,49933,48301
232,49932,48364
233,49812,968711
234,49813,48299
235,49813,573993
236,49812,586302
237,49815,48327
238,49814,968677
239,49818,48280
240,49817,48279
241,970214,48332
242,969179,48330
243,74143,48281
244,48568,489470
245,48702,48265
246,48642,48263
247,48707,436476
248,48704,48264
249,48660,48264
250,48735,48329
251,48556,48331
252,48627,48283
253,48573,48284
254,48637,968675
255,48630,48284
256,48634,533045
257,48634,622281
258,48630,50155
259,48783,968490
260,48692,48255
261,48644,48092
262,969110,48069
263,969110,48072
264,95331,48071
265,48602,531988
266,48603,48071
