,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0
4,5,2,0,0,0,0,0,0
5,7,0,0,0,0,0,0,0
6,7,1,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0
8,7,1,0,0,0,0,0,0
9,7,5,0,0,0,0,0,0
10,7,0,0,0,0,0,0,0
11,7,1,0,0,0,0,0,0
12,8,0,0,0,0,0,0,0
13,47,1,0,0,0,0,0,0
14,732,4,0,0,0,0,0,0
15,947929,172,1,356,379,64,0,0
16,962041,430,294,0,255,152,0,0
17,961786,480,1493,0,878,0,0,0
18,960907,699,426,0,1983,62,0,0
19,64313,443,47550,100,1092,0,0,0
20,39320,105,27171,0,8042,3805,0,0
21,34699,28,22142,0,8032,4328,0,0
22,31002,21,16672,10,9219,4950,0,0
23,26835,14,16127,0,6328,4250,0,0
24,22615,3,15214,0,2818,4467,0,0
25,20051,2,7584,0,8092,4262,0,0
26,20264,1,8512,0,6951,4690,0,0
27,18474,0,10694,0,2893,4777,0,0
28,16915,0,4962,2,7668,4173,0,0
29,16354,0,8410,2,3764,4068,0,0
30,15985,0,6598,0,4113,5164,0,0
31,14776,0,4066,0,6739,3861,0,0
32,15279,0,8097,0,1999,5073,0,0
33,11983,592,0,0,7397,3884,0,0
34,16806,0,8196,0,2203,6320,0,0
35,10863,0,1480,0,6010,3286,0,0
36,15071,0,7364,0,2715,4905,0,0
37,13599,0,4356,0,4924,4232,0,0
38,15031,0,5756,0,3369,5819,0,0
39,14050,0,5367,0,2480,6116,0,0
40,12420,0,1667,0,6588,4078,0,0
41,13406,0,6242,0,2190,4887,0,0
42,10734,0,2342,0,2743,5562,0,0
43,12115,0,3980,0,3766,4282,0,0
44,11605,0,4716,0,2544,4258,0,0
45,11150,0,4496,0,1780,4787,0,0
46,8438,0,1243,0,2647,4461,0,0
47,12291,0,1734,0,5294,5176,0,0
48,11284,0,6607,0,0,4590,0,0
49,11943,0,2271,0,3219,6366,0,0
50,9909,0,2685,0,2535,4602,0,0
51,10753,0,3536,0,1444,5686,0,0
52,9167,598,0,0,4333,4149,0,0
53,11397,0,2949,0,2917,5444,0,0
54,9926,0,5025,0,0,4814,0,0
55,10265,0,860,0,3757,5561,0,0
56,10706,0,2029,0,3449,5141,0,0
57,10127,0,4076,0,1069,4895,0,0
58,8551,0,1771,0,1703,4990,0,0
59,9840,0,2260,0,2264,5229,0,0
60,6591,267,333,0,1527,4377,0,0
61,10546,0,2305,0,2663,5491,0,0
62,9803,0,2174,0,3044,4498,0,0
63,9779,0,4093,0,583,5016,0,0
64,8145,0,1218,0,2282,4558,0,0
65,9243,0,3143,0,786,5227,0,0
66,6374,0,1344,0,1136,3807,0,0
67,10152,639,0,0,4220,5206,0,0
68,11031,0,3938,0,98,6908,0,0
69,7752,0,1387,0,1477,4801,0,0
70,6808,594,0,0,1750,4377,0,0
71,9566,0,1608,0,2309,5562,0,0
72,6471,0,1051,0,0,5333,0,0
73,8129,594,0,0,2328,5120,0,0
74,11056,0,1421,0,3287,6261,0,0
75,9099,0,4222,0,0,4790,0,0
76,9275,0,2395,0,633,6160,0,0
77,6638,0,943,0,1275,4333,0,0
78,8538,594,0,0,2731,5126,0,0
79,7371,0,2108,0,1156,4020,0,0
80,7277,0,692,0,1080,5418,0,0
81,7366,544,49,0,620,6066,0,0
82,8342,0,2132,0,1116,5007,0,0
83,6197,0,1052,0,556,4502,0,0
84,7764,612,0,0,1394,5671,0,0
85,8643,0,875,0,2643,5038,0,0
86,9185,0,2695,0,788,5615,0,0
87,6500,0,611,0,2044,3758,0,0
88,8369,0,2478,0,876,4928,0,0
89,8249,0,1482,0,0,6680,0,0
90,7827,636,0,0,2388,4716,0,0
91,9449,0,1651,0,1452,6259,0,0
92,6770,0,1040,0,60,5583,0,0
93,5780,459,136,0,844,4254,0,0
94,7493,653,0,0,638,6146,0,0
95,9038,0,1883,31,646,6422,0,0
96,5980,0,1254,0,0,4670,0,0
97,6425,466,158,0,1309,4436,0,0
98,10557,624,0,0,2717,7161,0,0
99,8261,0,1185,1,1584,5436,0,0
100,6986,228,397,0,595,5711,0,0
101,6288,451,187,0,0,5595,0,0
102,8011,625,0,0,1752,5579,0,0
103,8456,0,2392,0,452,5557,0,0
104,8125,0,1573,0,33,6464,0,0
105,7607,669,0,0,1779,5104,0,0
106,6963,623,0,0,705,5580,0,0
107,7586,0,2106,0,0,5425,0,0
108,7884,0,757,0,976,6096,0,0
109,7389,622,0,0,1792,4920,0,0
110,7056,0,1421,0,403,5177,0,0
111,6667,628,0,0,1572,4412,0,0
112,8379,622,0,0,721,6981,0,0
113,6891,0,1518,0,279,5039,0,0
114,6967,0,1011,0,0,5901,0,0
115,6531,622,0,0,1441,4413,0,0
116,7034,621,0,0,656,5702,0,0
117,6370,644,0,0,71,5600,0,0
118,585618,19,0,0,3190,582185,0,0
119,6926,7,0,0,6703,15,0,0
120,7034,8,0,0,6822,3,0,0
121,3994,2,0,0,3773,6,0,0
122,5484,69,0,0,5264,2,0,0
123,5962,0,0,0,5720,19,0,0
124,6840,99,0,0,6598,0,0,0
125,7412,12,0,98,7067,0,0,0
126,5221,25,0,1,4979,3,0,0
127,5907,73,0,0,5641,9,0,0
128,7406,3,0,0,7081,62,0,0
129,7331,66,0,1,7064,4,0,0
130,6669,80,0,0,6351,59,0,0
131,4798,2,0,3,4450,80,0,0
132,7155,63,0,0,6872,1,0,0
133,6319,86,0,0,5983,63,0,0
134,5679,19,0,3,5041,356,0,0
135,7209,54,0,0,6907,19,0,0
136,6816,92,0,0,6473,54,0,0
137,5299,23,0,0,4913,92,0,0
138,5991,60,0,0,5669,24,0,0
139,5700,97,0,0,5339,59,0,0
140,6022,27,0,0,5618,97,0,0
141,7127,64,0,0,6774,27,0,0
142,7456,102,0,0,7063,64,0,0
143,12272,46,0,0,11846,102,0,0
144,13300,67,0,1,12903,47,0,0
145,12775,97,0,0,12365,66,0,0
146,12875,71,0,1,12402,98,0,0
147,14099,62,0,0,13665,70,0,0
148,11486,127,0,0,11050,62,0,0
149,12796,61,0,0,12284,127,0,0
150,12834,72,0,0,12352,65,0,0
151,13848,138,0,0,13370,72,0,0
152,11949,116,0,0,11374,138,0,0
153,11403,61,0,0,10838,116,0,0
154,10335,169,0,0,9754,61,0,0
155,967539,0,128,0,1567,169,0,0
156,965972,1,132,0,0,0,0,0
157,49022,0,48633,0,0,1,0,0
158,48631,0,48540,0,0,0,0,0
159,48600,0,48508,0,0,0,0,0
160,50067,0,50005,0,1,1,0,0
161,50163,36,49864,0,1,0,0,0
162,50223,14,49927,0,35,1,0,0
163,50177,12,49919,0,14,0,0,0
164,50187,0,49943,0,12,0,0,0
165,49739,143,49526,0,0,0,0,0
166,50067,0,49844,91,53,9,0,0
167,49908,0,49837,0,1,0,0,0
168,49907,0,49836,0,1,0,0,0
169,49874,0,49804,0,0,0,0,0
170,147180,0,49750,4,4,1,0,0
171,147168,1,49750,0,0,0,0,0
172,49831,0,49720,0,1,0,0,0
173,49809,0,49721,0,0,0,0,0
