,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
0,5,0,0,0,0,0,0,0
1,490,0,0,0,0,0,0,0
2,957117,83,70,7,13,0,0,0
3,960388,38,215,0,156,5,0,0
4,960232,185,1033,0,257,1,0,0
5,959979,227,291,0,1220,3,0,0
6,958758,226,10,0,520,1,0,0
7,269381,77,49449,0,237,0,0,0
8,37873,0,20508,0,17365,0,0,0
9,29753,0,28123,0,1630,0,0,0
10,27010,0,16742,0,10268,0,0,0
11,23751,0,16763,0,6988,0,0,0
12,21411,0,11691,0,9720,0,0,0
13,21056,0,10428,0,10628,0,0,0
14,21100,0,10540,0,10560,0,0,0
15,20107,0,12567,0,7540,0,0,0
16,18760,0,10213,0,8547,0,0,0
17,17857,0,10333,0,7524,0,0,0
18,17800,0,7660,0,10140,0,0,0
19,18778,0,8182,0,10596,0,0,0
20,19587,0,8979,0,10608,0,0,0
21,19872,0,9276,0,10596,0,0,0
22,20567,0,9973,0,10594,0,0,0
23,20772,0,10176,0,10596,0,0,0
24,20913,0,10321,0,10592,0,0,0
25,21071,0,10460,0,10611,0,0,0
26,493280,23,10400,0,10579,0,0,0
27,19424,0,13714,0,5710,0,0,0
28,17733,0,9253,0,8480,0,0,0
29,18175,0,7595,0,10580,0,0,0
30,18964,0,9001,0,9963,0,0,0
31,18758,0,10374,0,8384,0,0,0
32,18609,0,8682,0,9927,0,0,0
33,19247,0,8652,0,10595,0,0,0
34,19893,0,9301,0,10592,0,0,0
35,19893,0,10938,0,8955,0,0,0
36,19068,0,10262,0,8806,0,0,0
37,19137,0,8542,0,10595,0,0,0
38,19856,0,9280,0,10576,0,0,0
39,19154,0,11986,0,7168,0,0,0
40,18494,0,8000,0,10494,0,0,0
41,18417,0,11137,0,7280,0,0,0
42,17491,0,9124,0,8367,0,0,0
43,17983,0,7388,0,10595,0,0,0
44,19056,0,8444,0,10612,0,0,0
45,19769,0,9189,0,10580,0,0,0
46,19988,0,9379,0,10609,0,0,0
47,21830,0,7692,0,14138,0,0,0
48,22790,0,12210,0,10580,0,0,0
49,194569,0,14910,0,5719,0,0,0
50,19650,0,7674,0,11976,0,0,0
51,21727,0,7819,0,13908,0,0,0
52,22724,0,11919,0,10805,0,0,0
