,page scan,active->inactive,active->laundry,inactive->active,inactive->free,inactive->laundry,laundry->active,laundry->free
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0
4,12,0,0,0,0,0,0,0
5,19,0,0,0,0,0,0,0
6,26,0,0,0,0,0,0,0
7,33,0,0,0,0,0,0,0
8,40,0,0,0,0,0,0,0
9,47,0,0,0,0,0,0,0
10,54,0,0,0,0,0,0,0
11,61,0,0,0,0,0,0,0
12,68,0,0,0,0,0,0,0
13,77,0,0,0,0,0,0,0
14,87,0,0,0,0,0,0,0
15,97,0,0,0,0,0,0,0
16,107,0,0,0,0,0,0,0
17,117,0,0,0,0,0,0,0
18,127,0,0,0,0,0,0,0
19,136,0,0,0,0,0,0,0
20,146,0,0,0,0,0,0,0
21,155,0,0,0,0,0,0,0
22,165,0,0,0,0,0,0,0
23,175,0,0,0,0,0,0,0
24,185,0,0,0,0,0,0,0
25,195,0,0,0,0,0,0,0
26,205,0,0,0,0,0,0,0
27,215,0,0,0,0,0,0,0
28,225,0,0,0,0,0,0,0
29,235,0,0,0,0,0,0,0
30,245,0,0,0,0,0,0,0
31,254,0,0,0,0,0,0,0
32,263,0,0,0,0,0,0,0
33,273,0,0,0,0,0,0,0
34,282,0,0,0,0,0,0,0
35,291,0,0,0,0,0,0,0
36,300,0,0,0,0,0,0,0
37,476,0,0,0,0,0,0,0
38,1030,0,0,0,0,0,0,0
39,948048,0,1,0,0,0,0,0
40,1901592,0,1,368,364,50,0,0
41,2863633,473,134,368,436,74,0,0
42,3825602,765,870,368,1066,74,0,0
43,4786938,1250,1839,368,2091,74,0,0
44,5747250,1416,1839,368,3546,74,0,0
45,6709251,1436,1839,368,3714,74,0,0
46,7671084,1587,2079,368,3734,74,0,0
47,8632896,1725,2312,368,4124,74,0,0
48,8682145,1897,50866,368,4496,74,0,0
49,9596347,1898,50866,368,10496,908262,0,0
50,9605074,1898,50866,368,19204,908263,0,0
51,9612670,1898,50866,368,26776,908263,0,0
52,9622792,1898,50866,368,36868,908263,0,0
53,9629917,1905,50866,368,43954,908263,0,0
54,9639212,1932,50866,368,53203,908265,0,0
55,9647719,1960,50866,368,61643,908278,0,0
56,9654862,1975,50866,368,68723,908281,0,0
57,9663782,1975,50866,368,77570,908289,0,0
58,9672699,1975,50866,368,86410,908289,0,0
59,9680286,2016,50866,368,93918,908289,0,0
60,9690588,2066,50866,368,104104,908315,0,0
61,9697801,2095,50866,368,111200,908337,0,0
62,9708408,2110,50866,368,121688,908356,0,0
63,9715737,2132,50866,368,128904,908357,0,0
64,9726488,2136,50866,368,139538,908357,0,0
65,9733714,2136,50866,368,146641,908357,0,0
66,9744407,2136,50866,368,157205,908357,0,0
67,9751632,2136,50866,368,164287,908357,0,0
68,9761489,2136,50866,368,174000,908357,0,0
69,9769615,2136,50866,368,181966,908357,0,0
70,9777961,2136,50866,368,190154,908357,0,0
71,9787628,2136,50866,368,199646,908357,0,0
72,9794886,2136,50866,368,206730,908357,0,0
73,9804083,2136,50866,368,215749,908357,0,0
74,9812939,2136,50866,368,224409,908357,0,0
75,9822784,2136,50866,368,234061,908357,0,0
76,9830914,2136,50866,368,241977,908357,0,0
77,9838870,2136,50866,368,249725,908357,0,0
78,9848977,2136,50866,368,259605,908357,0,0
79,9856775,2136,50866,368,267181,908357,0,0
80,9867137,2136,50866,368,277301,908357,0,0
81,9874451,2136,50866,368,284373,908357,0,0
82,9883242,2136,50866,368,292921,908357,0,0
83,9892619,2136,50866,368,302037,908357,0,0
84,9901323,2136,50866,368,310484,908357,0,0
85,9910807,2136,50866,368,319703,908357,0,0
86,9918180,2136,50866,368,326787,908357,0,0
87,9929043,2136,50866,368,337365,908357,0,0
88,9936409,2136,50866,368,344437,908357,0,0
89,9946174,2136,50866,368,353910,908357,0,0
90,9954725,2136,50866,371,362139,908357,0,0
91,9964132,2136,50866,371,371239,908357,0,0
92,9973041,2136,50866,372,379815,908357,0,0
93,9987009,2136,50866,372,393462,908357,0,0
94,9998568,2136,50866,372,404667,908357,0,0
95,10013085,2136,50866,372,418837,908357,0,0
96,10024044,2136,50866,372,429429,908357,0,0
97,10038577,2136,50866,372,443585,908357,0,0
98,10049568,2136,50866,372,454196,908357,0,0
99,10064086,2136,50866,372,468331,908357,0,0
100,10075081,2136,50866,372,478926,908357,0,0
101,10089628,2136,50866,372,493061,908357,0,0
102,10100670,2136,50866,372,503671,908357,0,0
103,10115260,2136,50866,372,517838,908357,0,0
104,11080638,2302,50982,372,526822,908357,0,0
105,12045901,2307,50985,372,526987,908357,0,0
