Mar  5 12:04:20 ci010 kernel: 0 | 0 0 | 0 0 0 | 0 0
Mar  5 12:04:20 ci010 kernel: 1 | 0 0 | 0 0 0 | 0 0
Mar  5 12:04:20 ci010 kernel: 2 | 0 0 | 0 0 0 | 0 0
Mar  5 12:04:21 ci010 kernel: 3 | 0 0 | 0 0 0 | 0 0
Mar  5 12:04:22 ci010 kernel: 7 | 0 0 | 0 0 0 | 0 0
Mar  5 12:04:23 ci010 kernel: 12 | 1 0 | 0 0 0 | 0 0
Mar  5 12:04:24 ci010 kernel: 17 | 2 0 | 0 0 0 | 0 0
Mar  5 12:04:25 ci010 kernel: 24 | 2 0 | 0 0 0 | 0 0
Mar  5 12:04:26 ci010 kernel: 31 | 3 0 | 0 0 0 | 0 0
Mar  5 12:04:27 ci010 kernel: 38 | 3 0 | 0 0 0 | 0 0
Mar  5 12:04:28 ci010 kernel: 45 | 4 0 | 0 0 0 | 0 0
Mar  5 12:04:29 ci010 kernel: 52 | 9 0 | 0 0 0 | 0 0
Mar  5 12:04:30 ci010 kernel: 59 | 9 0 | 0 0 0 | 0 0
Mar  5 12:04:31 ci010 kernel: 66 | 10 0 | 0 0 0 | 0 0
Mar  5 12:04:32 ci010 kernel: 73 | 10 0 | 0 0 0 | 0 0
Mar  5 12:04:33 ci010 kernel: 83 | 11 0 | 0 0 0 | 0 0
Mar  5 12:04:34 ci010 kernel: 93 | 15 0 | 0 0 0 | 0 0
Mar  5 12:04:36 ci010 kernel: 103 | 15 0 | 0 0 0 | 0 0
Mar  5 12:04:37 ci010 kernel: 113 | 16 0 | 0 0 0 | 0 0
Mar  5 12:04:38 ci010 kernel: 123 | 20 0 | 0 0 0 | 0 0
Mar  5 12:04:39 ci010 kernel: 132 | 21 0 | 0 0 0 | 0 0
Mar  5 12:04:40 ci010 kernel: 141 | 25 0 | 0 0 0 | 0 0
Mar  5 12:04:41 ci010 kernel: 151 | 25 0 | 0 0 0 | 0 0
Mar  5 12:04:42 ci010 kernel: 160 | 26 0 | 0 0 0 | 0 0
Mar  5 12:04:43 ci010 kernel: 169 | 29 0 | 0 0 0 | 0 0
Mar  5 12:04:44 ci010 kernel: 179 | 29 0 | 0 0 0 | 0 0
Mar  5 12:04:45 ci010 kernel: 188 | 34 0 | 0 0 0 | 0 0
Mar  5 12:04:46 ci010 kernel: 550 | 35 0 | 0 0 0 | 0 0
Mar  5 12:04:46 ci010 kernel: 1850 | 35 0 | 0 0 0 | 0 0
Mar  5 12:04:47 ci010 kernel: 954167 | 391 66 | 347 395 74 | 0 0
Mar  5 12:04:47 ci010 kernel: 1916222 | 719 931 | 347 908 187 | 0 0
Mar  5 12:04:48 ci010 kernel: 2877742 | 1172 1830 | 347 2195 187 | 0 0
Mar  5 12:04:48 ci010 kernel: 3837998 | 1804 2170 | 347 3568 252 | 0 0
Mar  5 12:04:49 ci010 kernel: 3898103 | 2194 49938 | 347 4605 255 | 0 0
Mar  5 12:04:49 ci010 kernel: 3936529 | 2300 78048 | 347 11272 3455 | 0 0
Mar  5 12:04:50 ci010 kernel: 3967278 | 2402 101294 | 347 16065 5920 | 0 0
Mar  5 12:04:50 ci010 kernel: 3992403 | 2417 118425 | 347 21159 8680 | 0 0
Mar  5 12:04:51 ci010 kernel: 4012500 | 2425 132387 | 347 25021 10829 | 0 0
Mar  5 12:04:51 ci010 kernel: 4031305 | 2429 141303 | 347 31411 14212 | 0 0
Mar  5 12:04:52 ci010 kernel: 4048094 | 2430 150292 | 347 36413 16898 | 0 0
Mar  5 12:04:52 ci010 kernel: 4062131 | 2431 161275 | 347 36417 19837 | 0 0
Mar  5 12:04:53 ci010 kernel: 4073829 | 2431 165553 | 347 41019 22545 | 0 0
Mar  5 12:04:54 ci010 kernel: 4087148 | 2431 168595 | 347 47644 26087 | 0 0
Mar  5 12:04:54 ci010 kernel: 4100070 | 2431 174112 | 347 52336 28690 | 0 0
Mar  5 12:04:54 ci010 kernel: 4112694 | 2431 180913 | 347 54675 32064 | 91 0
Mar  5 12:04:55 ci010 kernel: 4121758 | 2431 182384 | 347 59341 34881 | 91 0
Mar  5 12:04:55 ci010 kernel: 4133334 | 2431 187707 | 347 63320 37045 | 91 0
Mar  5 12:04:56 ci010 kernel: 4145928 | 2431 190475 | 347 69595 40486 | 91 0
Mar  5 12:04:57 ci010 kernel: 4158141 | 2431 198680 | 347 70315 43664 | 91 0
Mar  5 12:04:57 ci010 kernel: 4167702 | 2431 201091 | 347 74930 46089 | 91 0
Mar  5 12:04:57 ci010 kernel: 4178965 | 2431 204835 | 347 79724 48704 | 91 0
Mar  5 12:04:58 ci010 kernel: 4188719 | 2431 211335 | 347 80884 50688 | 91 0
Mar  5 12:04:58 ci010 kernel: 4197180 | 2431 213265 | 347 84517 53476 | 91 0
Mar  5 12:04:59 ci010 kernel: 4208323 | 2431 215762 | 347 89889 56640 | 91 0
Mar  5 12:05:00 ci010 kernel: 4218003 | 2431 222779 | 347 89889 59193 | 91 0
Mar  5 12:05:00 ci010 kernel: 4226292 | 2431 225181 | 347 93322 61537 | 91 0
Mar  5 12:05:01 ci010 kernel: 4235347 | 2431 228647 | 347 95670 64668 | 91 0
Mar  5 12:05:01 ci010 kernel: 4240637 | 2431 229580 | 347 97839 66746 | 92 0
Mar  5 12:05:02 ci010 kernel: 4249958 | 2431 232148 | 347 101537 69691 | 92 0
Mar  5 12:05:02 ci010 kernel: 4260290 | 2431 235416 | 347 104812 73370 | 92 0
Mar  5 12:05:03 ci010 kernel: 4270325 | 2431 238291 | 347 108682 76550 | 92 0
Mar  5 12:05:03 ci010 kernel: 4278926 | 2431 243238 | 347 109923 78853 | 92 0
Mar  5 12:05:04 ci010 kernel: 4285530 | 2431 245543 | 347 111424 81541 | 92 0
Mar  5 12:05:04 ci010 kernel: 4293626 | 2431 248513 | 348 113381 84599 | 92 0
Mar  5 12:05:05 ci010 kernel: 4299366 | 2431 249516 | 348 114857 87750 | 92 0
Mar  5 12:05:05 ci010 kernel: 4307408 | 2431 252213 | 348 116949 90893 | 92 0
Mar  5 12:05:06 ci010 kernel: 4316621 | 3005 252213 | 348 121438 94933 | 92 0
Mar  5 12:05:06 ci010 kernel: 4323309 | 3005 257075 | 349 121444 96642 | 92 0
Mar  5 12:05:07 ci010 kernel: 4329382 | 3005 259673 | 349 122417 99034 | 92 0
Mar  5 12:05:07 ci010 kernel: 4335202 | 3395 259857 | 349 124752 101835 | 92 0
Mar  5 12:05:08 ci010 kernel: 4342965 | 3395 262711 | 351 125899 105485 | 92 0
Mar  5 12:05:08 ci010 kernel: 4348283 | 3395 263409 | 351 127715 108179 | 92 0
Mar  5 12:05:09 ci010 kernel: 4356891 | 3395 264679 | 351 130956 112166 | 92 0
Mar  5 12:05:09 ci010 kernel: 4364775 | 3395 267380 | 352 133023 115171 | 92 0
Mar  5 12:05:10 ci010 kernel: 4370035 | 3395 268155 | 352 134570 117999 | 92 0
Mar  5 12:05:10 ci010 kernel: 4377047 | 3395 271052 | 359 136413 120154 | 92 0
Mar  5 12:05:11 ci010 kernel: 4383215 | 3395 271661 | 359 138668 123348 | 92 0
Mar  5 12:05:11 ci010 kernel: 4391095 | 3395 274091 | 362 141322 126031 | 92 0
Mar  5 12:05:12 ci010 kernel: 4398840 | 3395 277601 | 365 142578 128897 | 92 0
Mar  5 12:05:12 ci010 kernel: 4403713 | 3395 279942 | 365 142578 131319 | 92 0
Mar  5 12:05:13 ci010 kernel: 4408853 | 3498 280411 | 365 144219 134136 | 92 0
Mar  5 12:05:13 ci010 kernel: 4416841 | 3754 280763 | 368 148529 137093 | 92 0
Mar  5 12:05:14 ci010 kernel: 4424484 | 3754 284806 | 368 149128 140010 | 92 0
Mar  5 12:05:14 ci010 kernel: 4430617 | 3754 286644 | 368 150422 142927 | 92 0
Mar  5 12:05:15 ci010 kernel: 4437064 | 4353 286644 | 368 152698 146415 | 92 0
Mar  5 12:05:15 ci010 kernel: 4444338 | 4353 289910 | 369 153317 149719 | 92 0
Mar  5 12:05:16 ci010 kernel: 4450320 | 4353 291125 | 369 155012 152707 | 92 0
Mar  5 12:05:16 ci010 kernel: 4456987 | 4995 291125 | 369 157049 156611 | 92 0
Mar  5 12:05:17 ci010 kernel: 4464155 | 4995 294484 | 369 157130 160255 | 92 0
Mar  5 12:05:17 ci010 kernel: 4469813 | 4995 295481 | 369 159002 162960 | 92 0
Mar  5 12:05:18 ci010 kernel: 4476229 | 5597 295481 | 369 162236 165456 | 92 0
Mar  5 12:05:18 ci010 kernel: 4483605 | 5597 298578 | 370 162814 169072 | 92 0
Mar  5 12:05:19 ci010 kernel: 4489111 | 5597 300008 | 370 163774 172104 | 92 0
Mar  5 12:05:19 ci010 kernel: 4494943 | 6195 300008 | 370 165669 175359 | 92 0
Mar  5 12:05:20 ci010 kernel: 4501613 | 6195 302471 | 373 166344 178804 | 92 0
Mar  5 12:05:20 ci010 kernel: 4508343 | 6354 302930 | 373 168128 183048 | 92 0
Mar  5 12:05:21 ci010 kernel: 4511620 | 6490 303390 | 373 168133 185640 | 92 0
Mar  5 12:05:21 ci010 kernel: 4518079 | 7115 303390 | 373 170747 188805 | 92 0
Mar  5 12:05:22 ci010 kernel: 4525554 | 7115 305633 | 402 172154 192546 | 92 0
Mar  5 12:05:22 ci010 kernel: 4530746 | 7115 306360 | 402 173310 195800 | 92 0
Mar  5 12:05:23 ci010 kernel: 4537547 | 7115 309154 | 408 173666 199390 | 92 0
Mar  5 12:05:23 ci010 kernel: 4542695 | 7163 309733 | 408 175603 201919 | 92 0
Mar  5 12:05:24 ci010 kernel: 4548585 | 7726 309795 | 408 176076 206656 | 92 0
Mar  5 12:05:24 ci010 kernel: 4554512 | 7726 311833 | 408 176929 209637 | 92 0
