Mar  5 12:27:41 ci010 kernel: 1 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:41 ci010 kernel: 1 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:41 ci010 kernel: 4 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:42 ci010 kernel: 4 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:43 ci010 kernel: 5 | 2 0 | 0 0 0 | 0 0
Mar  5 12:27:44 ci010 kernel: 7 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:45 ci010 kernel: 7 | 1 0 | 0 0 0 | 0 0
Mar  5 12:27:46 ci010 kernel: 7 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:47 ci010 kernel: 7 | 1 0 | 0 0 0 | 0 0
Mar  5 12:27:48 ci010 kernel: 7 | 5 0 | 0 0 0 | 0 0
Mar  5 12:27:49 ci010 kernel: 7 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:50 ci010 kernel: 7 | 1 0 | 0 0 0 | 0 0
Mar  5 12:27:51 ci010 kernel: 8 | 0 0 | 0 0 0 | 0 0
Mar  5 12:27:52 ci010 kernel: 47 | 1 0 | 0 0 0 | 0 0
Mar  5 12:27:53 ci010 kernel: 732 | 4 0 | 0 0 0 | 0 0
Mar  5 12:27:54 ci010 kernel: 947929 | 172 1 | 356 379 64 | 0 0
Mar  5 12:27:55 ci010 kernel: 962041 | 430 294 | 0 255 152 | 0 0
Mar  5 12:27:55 ci010 kernel: 961786 | 480 1493 | 0 878 0 | 0 0
Mar  5 12:27:56 ci010 kernel: 960907 | 699 426 | 0 1983 62 | 0 0
Mar  5 12:27:56 ci010 kernel: 64313 | 443 47550 | 100 1092 0 | 0 0
Mar  5 12:27:57 ci010 kernel: 39320 | 105 27171 | 0 8042 3805 | 0 0
Mar  5 12:27:58 ci010 kernel: 34699 | 28 22142 | 0 8032 4328 | 0 0
Mar  5 12:27:58 ci010 kernel: 31002 | 21 16672 | 10 9219 4950 | 0 0
Mar  5 12:27:58 ci010 kernel: 26835 | 14 16127 | 0 6328 4250 | 0 0
Mar  5 12:27:59 ci010 kernel: 22615 | 3 15214 | 0 2818 4467 | 0 0
Mar  5 12:27:59 ci010 kernel: 20051 | 2 7584 | 0 8092 4262 | 0 0
Mar  5 12:28:00 ci010 kernel: 20264 | 1 8512 | 0 6951 4690 | 0 0
Mar  5 12:28:00 ci010 kernel: 18474 | 0 10694 | 0 2893 4777 | 0 0
Mar  5 12:28:01 ci010 kernel: 16915 | 0 4962 | 2 7668 4173 | 0 0
Mar  5 12:28:01 ci010 kernel: 16354 | 0 8410 | 2 3764 4068 | 0 0
Mar  5 12:28:02 ci010 kernel: 15985 | 0 6598 | 0 4113 5164 | 0 0
Mar  5 12:28:02 ci010 kernel: 14776 | 0 4066 | 0 6739 3861 | 0 0
Mar  5 12:28:03 ci010 kernel: 15279 | 0 8097 | 0 1999 5073 | 0 0
Mar  5 12:28:03 ci010 kernel: 11983 | 592 0 | 0 7397 3884 | 0 0
Mar  5 12:28:04 ci010 kernel: 16806 | 0 8196 | 0 2203 6320 | 0 0
Mar  5 12:28:04 ci010 kernel: 10863 | 0 1480 | 0 6010 3286 | 0 0
Mar  5 12:28:05 ci010 kernel: 15071 | 0 7364 | 0 2715 4905 | 0 0
Mar  5 12:28:06 ci010 kernel: 13599 | 0 4356 | 0 4924 4232 | 0 0
Mar  5 12:28:06 ci010 kernel: 15031 | 0 5756 | 0 3369 5819 | 0 0
Mar  5 12:28:07 ci010 kernel: 14050 | 0 5367 | 0 2480 6116 | 0 0
Mar  5 12:28:07 ci010 kernel: 12420 | 0 1667 | 0 6588 4078 | 0 0
