Mar  5 12:51:51 ci010 kernel: 1 | 0 0 | 0 0 0 | 0 0
Mar  5 12:51:51 ci010 last message repeated 2 times
Mar  5 12:51:52 ci010 kernel: 5 | 0 0 | 0 0 0 | 0 0
Mar  5 12:51:53 ci010 kernel: 7 | 0 0 | 0 0 0 | 0 0
Mar  5 12:51:57 ci010 last message repeated 4 times
Mar  5 12:51:58 ci010 kernel: 8 | 0 0 | 0 0 0 | 0 0
Mar  5 12:51:59 ci010 kernel: 7 | 0 0 | 0 0 0 | 0 0
Mar  5 12:52:01 ci010 last message repeated 2 times
Mar  5 12:52:02 ci010 kernel: 10 | 0 0 | 0 0 0 | 0 0
Mar  5 12:52:03 ci010 kernel: 127 | 0 0 | 0 0 0 | 0 0
Mar  5 12:52:04 ci010 kernel: 748 | 0 0 | 0 0 0 | 0 0
Mar  5 12:52:05 ci010 kernel: 947962 | 0 1 | 368 364 50 | 0 0
Mar  5 12:52:05 ci010 kernel: 961997 | 167 0 | 0 70 19 | 0 0
Mar  5 12:52:06 ci010 kernel: 961927 | 304 133 | 0 185 1 | 0 0
Mar  5 12:52:07 ci010 kernel: 961746 | 329 667 | 0 438 4 | 0 0
Mar  5 12:52:08 ci010 kernel: 961297 | 666 1045 | 0 991 0 | 0 0
Mar  5 12:52:08 ci010 kernel: 482725 | 15 48220 | 0 1707 0 | 0 0
Mar  5 12:52:09 ci010 kernel: 36185 | 0 20177 | 0 16008 0 | 0 0
Mar  5 12:52:09 ci010 kernel: 489632 | 0 27956 | 0 2088 0 | 0 0
Mar  5 12:52:09 ci010 kernel: 26478 | 0 18742 | 0 7736 0 | 0 0
Mar  5 12:52:10 ci010 kernel: 22980 | 0 14744 | 0 8236 0 | 0 0
Mar  5 12:52:10 ci010 kernel: 21278 | 0 11644 | 0 9634 0 | 0 0
Mar  5 12:52:11 ci010 kernel: 20185 | 0 11814 | 0 8371 0 | 0 0
Mar  5 12:52:11 ci010 kernel: 19724 | 0 9441 | 0 10283 0 | 0 0
Mar  5 12:52:12 ci010 kernel: 19369 | 0 10853 | 0 8516 0 | 0 0
Mar  5 12:52:12 ci010 kernel: 18764 | 0 9600 | 0 9164 0 | 0 0
Mar  5 12:52:13 ci010 kernel: 18574 | 0 9672 | 0 8902 0 | 0 0
Mar  5 12:52:13 ci010 kernel: 18272 | 0 9495 | 0 8777 0 | 0 0
Mar  5 12:52:14 ci010 kernel: 18651 | 0 8039 | 0 10612 0 | 0 0
Mar  5 12:52:14 ci010 kernel: 19504 | 0 8908 | 0 10596 0 | 0 0
Mar  5 12:52:15 ci010 kernel: 18596 | 0 10880 | 0 7716 0 | 0 0
Mar  5 12:52:15 ci010 kernel: 18357 | 0 9709 | 0 8648 0 | 0 0
Mar  5 12:52:16 ci010 kernel: 18663 | 0 8056 | 0 10607 0 | 0 0
Mar  5 12:52:16 ci010 kernel: 19010 | 0 10102 | 0 8908 0 | 0 0
Mar  5 12:52:17 ci010 kernel: 18512 | 0 9691 | 0 8821 0 | 0 0
Mar  5 12:52:17 ci010 kernel: 18760 | 0 8168 | 0 10592 0 | 0 0
Mar  5 12:52:18 ci010 kernel: 19621 | 0 9057 | 0 10564 0 | 0 0
Mar  5 12:52:18 ci010 kernel: 19578 | 0 10625 | 0 8953 0 | 0 0
Mar  5 12:52:19 ci010 kernel: 18937 | 0 10226 | 0 8711 0 | 0 0
Mar  5 12:52:19 ci010 kernel: 19077 | 0 8450 | 0 10627 0 | 0 0
Mar  5 12:52:20 ci010 kernel: 19221 | 0 10333 | 0 8888 0 | 0 0
Mar  5 12:52:20 ci010 kernel: 18709 | 0 9901 | 0 8808 0 | 0 0
Mar  5 12:52:21 ci010 kernel: 18946 | 0 8350 | 0 10596 0 | 0 0
Mar  5 12:52:21 ci010 kernel: 19400 | 0 9828 | 0 9572 0 | 0 0
Mar  5 12:52:22 ci010 kernel: 18773 | 0 10655 | 0 8118 0 | 0 0
Mar  5 12:52:22 ci010 kernel: 18725 | 0 8103 | 0 10622 0 | 0 0
Mar  5 12:52:23 ci010 kernel: 19603 | 0 8990 | 0 10613 0 | 0 0
Mar  5 12:52:24 ci010 kernel: 20141 | 0 9545 | 0 10596 0 | 0 0
Mar  5 12:52:24 ci010 kernel: 19427 | 0 11987 | 0 7440 0 | 0 0
Mar  5 12:52:25 ci010 kernel: 18692 | 0 8469 | 0 10223 0 | 0 0
Mar  5 12:52:25 ci010 kernel: 19024 | 0 10020 | 0 9004 0 | 0 0
Mar  5 12:52:26 ci010 kernel: 116632 | 224 8654 | 0 9536 0 | 0 0
Mar  5 12:52:26 ci010 kernel: 19575 | 0 8739 | 0 10836 0 | 0 0
Mar  5 12:52:27 ci010 kernel: 19400 | 0 11000 | 0 8400 0 | 0 0
Mar  5 12:52:27 ci010 kernel: 18784 | 0 9505 | 0 9279 0 | 0 0
Mar  5 12:52:28 ci010 kernel: 19201 | 0 8590 | 0 10611 0 | 0 0
Mar  5 12:52:28 ci010 kernel: 19480 | 0 10040 | 0 9440 0 | 0 0
Mar  5 12:52:29 ci010 kernel: 20062 | 0 8296 | 0 11766 0 | 0 0
Mar  5 12:52:29 ci010 kernel: 21984 | 0 7928 | 0 14056 0 | 0 0
Mar  5 12:52:30 ci010 kernel: 22896 | 0 12221 | 0 10675 0 | 0 0
Mar  5 12:52:30 ci010 kernel: 22366 | 0 11706 | 0 10660 0 | 0 0
Mar  5 12:52:31 ci010 kernel: 22658 | 0 10131 | 0 12527 0 | 0 0
Mar  5 12:52:31 ci010 kernel: 23221 | 0 11845 | 0 11376 0 | 0 0
Mar  5 12:52:32 ci010 kernel: 23879 | 0 9611 | 0 14268 0 | 0 0
Mar  5 12:52:32 ci010 kernel: 24047 | 0 13438 | 0 10609 0 | 0 0
Mar  5 12:52:33 ci010 kernel: 24438 | 0 10300 | 0 14138 0 | 0 0
Mar  5 12:52:33 ci010 kernel: 24825 | 0 13369 | 0 11456 0 | 0 0
Mar  5 12:52:34 ci010 kernel: 24803 | 0 11495 | 0 13308 0 | 0 0
Mar  5 12:52:34 ci010 kernel: 24843 | 0 13148 | 0 11695 0 | 0 0
Mar  5 12:52:35 ci010 kernel: 49974 | 0 49515 | 0 459 0 | 0 0
Mar  5 12:52:35 ci010 kernel: 49514 | 0 49514 | 0 0 0 | 0 0
Mar  5 12:52:36 ci010 kernel: 49515 | 0 49515 | 0 0 0 | 0 0
Mar  5 12:52:37 ci010 kernel: 49581 | 0 49577 | 0 4 0 | 0 0
Mar  5 12:52:37 ci010 kernel: 49985 | 0 49968 | 0 1 16 | 0 0
Mar  5 12:52:38 ci010 kernel: 64689 | 0 49928 | 0 0 0 | 0 0
Mar  5 12:52:38 ci010 kernel: 970359 | 346 48762 | 0 0 0 | 0 0
Mar  5 12:52:39 ci010 kernel: 970359 | 50 122 | 0 345 1 | 0 0
Mar  5 12:52:39 ci010 kernel: 970014 | 180 0 | 0 50 0 | 0 0
Mar  5 12:52:40 ci010 kernel: 969964 | 10 5201 | 0 180 0 | 0 0
Mar  5 12:52:40 ci010 kernel: 49265 | 0 49242 | 0 10 13 | 0 0
Mar  5 12:52:41 ci010 kernel: 49245 | 0 49245 | 0 0 0 | 0 0
Mar  5 12:52:42 ci010 kernel: 49370 | 0 49370 | 0 0 0 | 0 0
Mar  5 12:52:42 ci010 kernel: 49370 | 0 49370 | 0 0 0 | 0 0
Mar  5 12:52:43 ci010 kernel: 583774 | 2 49240 | 0 0 0 | 0 0
Mar  5 12:52:43 ci010 kernel: 49245 | 0 49243 | 0 2 0 | 0 0
Mar  5 12:52:44 ci010 kernel: 49256 | 0 49244 | 0 0 0 | 0 0
Mar  5 12:52:44 ci010 kernel: 300640 | 45 49108 | 0 0 0 | 0 0
Mar  5 12:52:45 ci010 kernel: 49224 | 0 49179 | 0 45 0 | 0 0
Mar  5 12:52:45 ci010 kernel: 49182 | 0 49182 | 0 0 0 | 0 0
Mar  5 12:52:46 ci010 kernel: 49303 | 0 49181 | 0 0 0 | 0 0
Mar  5 12:52:46 ci010 kernel: 49243 | 0 49243 | 0 0 0 | 0 0
Mar  5 12:52:47 ci010 kernel: 49243 | 0 49243 | 0 0 0 | 0 0
Mar  5 12:52:48 ci010 kernel: 49199 | 0 49199 | 0 0 0 | 0 0
Mar  5 12:52:48 ci010 kernel: 54769 | 0 49200 | 0 0 0 | 0 0
Mar  5 12:52:48 ci010 kernel: 49200 | 0 49200 | 0 0 0 | 0 0
Mar  5 12:52:49 ci010 kernel: 49199 | 0 49199 | 0 0 0 | 0 0
Mar  5 12:52:50 ci010 kernel: 49200 | 0 49200 | 0 0 0 | 0 0
Mar  5 12:52:50 ci010 kernel: 196941 | 0 49199 | 0 0 0 | 0 0
Mar  5 12:52:51 ci010 kernel: 969731 | 1 23362 | 0 0 0 | 0 0
Mar  5 12:52:51 ci010 kernel: 969731 | 1 3 | 0 1 0 | 0 0
Mar  5 12:52:52 ci010 kernel: 969735 | 0 5517 | 1 2 0 | 0 0
Mar  5 12:52:52 ci010 kernel: 49485 | 0 49204 | 0 0 0 | 0 0
Mar  5 12:52:53 ci010 kernel: 49205 | 0 49205 | 0 0 0 | 0 0
Mar  5 12:52:53 ci010 kernel: 49204 | 0 49204 | 0 0 0 | 0 0
Mar  5 12:52:54 ci010 kernel: 49205 | 0 49205 | 0 0 0 | 0 0
Mar  5 12:52:55 ci010 kernel: 590370 | 0 49182 | 0 0 0 | 0 0
Mar  5 12:52:55 ci010 kernel: 49188 | 0 49185 | 0 0 0 | 0 0
Mar  5 12:52:56 ci010 kernel: 49195 | 0 49184 | 0 0 0 | 0 0
Mar  5 12:52:56 ci010 kernel: 324353 | 6 49167 | 0 0 0 | 0 0
Mar  5 12:52:57 ci010 kernel: 49288 | 0 49282 | 0 6 0 | 0 0
Mar  5 12:52:57 ci010 kernel: 49194 | 0 49194 | 0 0 0 | 0 0
Mar  5 12:52:58 ci010 kernel: 49195 | 0 49195 | 0 0 0 | 0 0
Mar  5 12:52:58 ci010 kernel: 49194 | 0 49194 | 0 0 0 | 0 0
Mar  5 12:52:59 ci010 kernel: 49195 | 0 49195 | 0 0 0 | 0 0
Mar  5 12:52:59 ci010 kernel: 49194 | 0 49194 | 0 0 0 | 0 0
Mar  5 12:53:00 ci010 kernel: 49245 | 0 49195 | 0 0 0 | 0 0
Mar  5 12:53:00 ci010 kernel: 49194 | 0 49194 | 0 0 0 | 0 0
Mar  5 12:53:01 ci010 kernel: 49195 | 0 49195 | 0 0 0 | 0 0
Mar  5 12:53:01 ci010 kernel: 49281 | 0 49281 | 0 0 0 | 0 0
Mar  5 12:53:02 ci010 kernel: 196847 | 0 49281 | 0 0 0 | 0 0
Mar  5 12:53:03 ci010 kernel: 969729 | 6 5566 | 0 0 0 | 0 0
