Mar  5 12:56:04 ci010 kernel: 5 | 0 0 | 0 0 0 | 0 0
Mar  5 12:56:05 ci010 kernel: 490 | 0 0 | 0 0 0 | 0 0
Mar  5 12:56:06 ci010 kernel: 957117 | 83 70 | 7 13 0 | 0 0
Mar  5 12:56:07 ci010 kernel: 960388 | 38 215 | 0 156 5 | 0 0
Mar  5 12:56:07 ci010 kernel: 960232 | 185 1033 | 0 257 1 | 0 0
Mar  5 12:56:08 ci010 kernel: 959979 | 227 291 | 0 1220 3 | 0 0
Mar  5 12:56:09 ci010 kernel: 958758 | 226 10 | 0 520 1 | 0 0
Mar  5 12:56:09 ci010 kernel: 269381 | 77 49449 | 0 237 0 | 0 0
Mar  5 12:56:10 ci010 kernel: 37873 | 0 20508 | 0 17365 0 | 0 0
Mar  5 12:56:10 ci010 kernel: 29753 | 0 28123 | 0 1630 0 | 0 0
Mar  5 12:56:10 ci010 kernel: 27010 | 0 16742 | 0 10268 0 | 0 0
Mar  5 12:56:11 ci010 kernel: 23751 | 0 16763 | 0 6988 0 | 0 0
Mar  5 12:56:11 ci010 kernel: 21411 | 0 11691 | 0 9720 0 | 0 0
Mar  5 12:56:12 ci010 kernel: 21056 | 0 10428 | 0 10628 0 | 0 0
Mar  5 12:56:12 ci010 kernel: 21100 | 0 10540 | 0 10560 0 | 0 0
Mar  5 12:56:13 ci010 kernel: 20107 | 0 12567 | 0 7540 0 | 0 0
Mar  5 12:56:13 ci010 kernel: 18760 | 0 10213 | 0 8547 0 | 0 0
Mar  5 12:56:14 ci010 kernel: 17857 | 0 10333 | 0 7524 0 | 0 0
Mar  5 12:56:14 ci010 kernel: 17800 | 0 7660 | 0 10140 0 | 0 0
Mar  5 12:56:15 ci010 kernel: 18778 | 0 8182 | 0 10596 0 | 0 0
Mar  5 12:56:15 ci010 kernel: 19587 | 0 8979 | 0 10608 0 | 0 0
Mar  5 12:56:16 ci010 kernel: 19872 | 0 9276 | 0 10596 0 | 0 0
Mar  5 12:56:16 ci010 kernel: 20567 | 0 9973 | 0 10594 0 | 0 0
Mar  5 12:56:17 ci010 kernel: 20772 | 0 10176 | 0 10596 0 | 0 0
Mar  5 12:56:17 ci010 kernel: 20913 | 0 10321 | 0 10592 0 | 0 0
Mar  5 12:56:18 ci010 kernel: 21071 | 0 10460 | 0 10611 0 | 0 0
Mar  5 12:56:18 ci010 kernel: 493280 | 23 10400 | 0 10579 0 | 0 0
Mar  5 12:56:19 ci010 kernel: 19424 | 0 13714 | 0 5710 0 | 0 0
Mar  5 12:56:20 ci010 kernel: 17733 | 0 9253 | 0 8480 0 | 0 0
Mar  5 12:56:20 ci010 kernel: 18175 | 0 7595 | 0 10580 0 | 0 0
Mar  5 12:56:21 ci010 kernel: 18964 | 0 9001 | 0 9963 0 | 0 0
Mar  5 12:56:21 ci010 kernel: 18758 | 0 10374 | 0 8384 0 | 0 0
Mar  5 12:56:21 ci010 kernel: 18609 | 0 8682 | 0 9927 0 | 0 0
Mar  5 12:56:22 ci010 kernel: 19247 | 0 8652 | 0 10595 0 | 0 0
Mar  5 12:56:23 ci010 kernel: 19893 | 0 9301 | 0 10592 0 | 0 0
Mar  5 12:56:23 ci010 kernel: 19893 | 0 10938 | 0 8955 0 | 0 0
Mar  5 12:56:24 ci010 kernel: 19068 | 0 10262 | 0 8806 0 | 0 0
Mar  5 12:56:24 ci010 kernel: 19137 | 0 8542 | 0 10595 0 | 0 0
Mar  5 12:56:25 ci010 kernel: 19856 | 0 9280 | 0 10576 0 | 0 0
Mar  5 12:56:25 ci010 kernel: 19154 | 0 11986 | 0 7168 0 | 0 0
Mar  5 12:56:26 ci010 kernel: 18494 | 0 8000 | 0 10494 0 | 0 0
Mar  5 12:56:26 ci010 kernel: 18417 | 0 11137 | 0 7280 0 | 0 0
Mar  5 12:56:27 ci010 kernel: 17491 | 0 9124 | 0 8367 0 | 0 0
Mar  5 12:56:27 ci010 kernel: 17983 | 0 7388 | 0 10595 0 | 0 0
